RowName,Index,kor,eng,pronunciation
WordStudy_001,1,K-Lingo는 공항 입국심사 시나리오를 기반으로 한 한국어 학습 게임입니다,K-Lingo is a Korean language learning game,K-Lingo-neun hangugeo hakseup geim-imnida
WordStudy_002,2,"읽기, 듣기, 쓰기, 말하기를 배울 수 있습니다","You can learn reading, listening, writing, and speaking","Ilkgi, deutgi, sseugi, malhagi-reul baeul su itsseumnida"
WordStudy_003,3,다른 학습자들과 함께 공부합니다,You study together with other learners,Dareun hakseupjadeul-gwa hamkke gongbuhamnida
WordStudy_004,4,공항 입국심사 상황에서 한국어를 연습합니다,Practice Korean in airport immigration situations,Gonghang ipguksimsa sanghwang-eseo hangugeoreul yeonseuphamnida
WordStudy_005,5,AI 튜터가 개인 맞춤형 피드백을 제공합니다,AI tutors provide personalized feedback,AI tyuteoga gaein matchumhyeong pideubaek-eul jegonghamnida
WordStudy_006,6,게임처럼 재미있게 한국어를 배웁니다,"Learn Korean in a fun, game-like way.",Geimcheoreom jaemiitge hangugeoreul baeumnida
WordStudy_007,7,3D 환경에서 실전처럼 학습할 수 있습니다,Learn like real situations in a 3D environment,3D hwangyeong-eseo siljeonchereom hakseuphal su itsseumnida
WordStudy_008,8,Unreal Engine 5로 제작된 메타버스 환경에서 학습합니다,Learn in a metaverse environment built with Unreal Engine 5,Unreal Engine 5-ro jejakdoen metabeoseu hwangyeong-eseo hakseuphamnida
WordStudy_009,9,LLM 기반 대화 시스템으로 자연스러운 회화 연습이 가능합니다,LLM-powered conversation systems enable natural dialogue practice,LLM giban daehwa siseutem-euro jayeonseureoun hoehwa yeonseupi ganeunghamnida
WordStudy_010,10,"STT, TTS, OCR 기술을 활용한 AI 튜터가 학습을 돕습니다","AI tutors using STT, TTS, and OCR technologies assist your learning","STT, TTS, OCR gisul-eul hwalyonghan AI tyuteoga hakseub-eul dopseumnida"
