RowName,PageType,Title,Description,Texture
Control_P1,Control_P1,소개- 조작법,조작법은 다음과 같습니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Control_P1.T_Control_P1
Control_P2,Control_P2,소개 - 난이도,학습할 단어의 난이도를 선택을 할 수 있습니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Control_P2.T_Control_P2
Control_P3,Control_P3,소개 - 인터뷰,인터뷰를 통해 사용자 맞춤형 문제가 생성됩니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Control_P3.T_Control_P3
Control_P4,Control_P4,소개 - AI,AI : 키워드를 통해 AI에게 플레이중에 모르는것을 물어볼수 있습니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Control_P4.T_Control_P4
Control_P5,Control_P5,소개 - AI,또한 플레이 중에 V 키를 눌러 음성으로도 질문이 가능합니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Control_P5.T_Control_P5
Control_P6,Control_P6,소개 - AI,P를 눌러서 AI와 대화 기록을 다시 확인이 가능합니다.,/Game/CustomContents/UI/Texture/HowToPlay/T_Control_P6.T_Control_P6
Read_P1,Read_P1,읽기 퀘스트 - 소개,"문제를 잘 읽고, 문제가 찾는 캐리어를 찾아야합니다
[Q] 를 이용해서 다시 확인할 수 있습니다",/Game/CustomContents/UI/Texture/HowToPlay/T_Read_P1.T_Read_P1
Read_P2,Read_P2,읽기 퀘스트 - 진행 방법,컨베이어 벨트에서 답에 해당하는 캐리어를 찾으세요,/Game/CustomContents/UI/Texture/HowToPlay/T_Read_P2.T_Read_P2
Read_P3,Read_P3,읽기 퀘스트 - 협력,"캐리어를 [마우스 좌클릭]으로 집어서 목적지에 가져가세요
[마우스 우클릭]으로 당겨올수도 있습니다",/Game/CustomContents/UI/Texture/HowToPlay/T_Read_P3.T_Read_P3
Read_P4,Read_P4,읽기 퀘스트 - 완료,캐리어 제출은 여기서 놓아 할 수 있습니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Read_P4.T_Read_P4
Listen_P1,Listen_P1,듣기 퀘스트 - 소개,"문제를 잘 듣고, 문제가 가리키는 음식 조합을 합니다
[Q] 를 이용해서 다시 들을수 있습니다",/Game/CustomContents/UI/Texture/HowToPlay/T_Listen_P1.T_Listen_P1
Listen_P2,Listen_P2,듣기 퀘스트 - 진행 방법,"테이블위에는 음식과 지역명이 적힌 객체들이 있습니다
[마우스 왼클릭]으로 집어서 제출처에 넣으세요",/Game/CustomContents/UI/Texture/HowToPlay/T_Listen_P2.T_Listen_P2
Listen_P3,Listen_P3,듣기 퀘스트 - 음식,음식은 여기에 넣습니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Listen_P3.T_Listen_P3
Listen_P4,Listen_P4,듣기 퀘스트 - 지역,지역은 여기에 넣습니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Listen_P4.T_Listen_P4
Speak_P1,Speak_P1,말하기 퀘스트 - 소개,길을 따라서 올라가세요,/Game/CustomContents/UI/Texture/HowToPlay/T_Speak_P1.T_Speak_P1
Speak_P2,Speak_P2,말하기 퀘스트 - 진행 방법,심사관과 [E] 키를 눌러서 상호작용하여 시작합니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Speak_P2.T_Speak_P2
Speak_P3,Speak_P3,말하기 퀘스트 - 답변,심사관의 질문에 [V] 키를 눌러서 답변을 하세요,/Game/CustomContents/UI/Texture/HowToPlay/T_Speak_P3.T_Speak_P3
Write_P1,Write_P1,쓰기 퀘스트 - 소개,키오스크과 [E] 키를 눌러서 상호작용하여 시작합니다,/Game/CustomContents/UI/Texture/HowToPlay/T_Write_P1.T_Write_P1
Write_P2,Write_P2,쓰기 퀘스트 - 진행 방법,Write버튼을 눌러서 답변을 입력하세요,/Game/CustomContents/UI/Texture/HowToPlay/T_Write_P2.T_Write_P2
Write_P3,Write_P3,쓰기 퀘스트 - 진행 방법,정확하게 입력할수록 높게 평가가 됩니다.,/Game/CustomContents/UI/Texture/HowToPlay/T_Write_P3.T_Write_P3
